,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker
,Name,Tracker Nico,Tracker Nico,Tracker Nico,Tracker Nico,Tracker Nico,Tracker Nico,Tracker Nico,"Tracker Nico:Marker1","Tracker Nico:Marker1","Tracker Nico:Marker1","Tracker Nico:Marker2","Tracker Nico:Marker2","Tracker Nico:Marker2","Tracker Nico:Marker3","Tracker Nico:Marker3","Tracker Nico:Marker3","Tracker Nico:Marker4","Tracker Nico:Marker4","Tracker Nico:Marker4","Tracker Nico:Marker5","Tracker Nico:Marker5","Tracker Nico:Marker5"
,ID,"8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
6763,56.358333,-0.117008,0.028888,-0.736389,-0.665737,92.139801,632.873474,23.229631,64.939949,642.682373,28.426308,97.202919,650.401917,21.607645,91.094543,631.204224,45.290985,85.363281,608.363220,12.278248,122.098549,631.715637,8.544938
6764,56.366667,-0.115772,0.030022,-0.735609,-0.666764,86.962029,634.628052,27.759583,59.774700,644.516357,32.870609,92.080742,652.141479,26.150345,85.843842,632.965759,49.817879,80.148590,610.135559,16.791374,116.962509,633.381165,13.167675
6765,56.375000,-0.112614,0.032110,-0.735667,-0.667144,81.622337,636.374084,32.241245,54.409325,646.299927,37.138252,86.773148,653.879578,30.648552,80.338600,634.740234,54.292656,74.862068,611.875916,21.252831,111.728790,635.074585,17.873898
6766,56.383333,-0.110235,0.033164,-0.736254,-0.666842,76.066132,637.984619,36.563557,48.820415,647.895325,41.307026,81.210320,655.491943,34.969013,74.672211,636.384827,58.610775,69.381981,613.463318,25.580183,106.245949,636.687744,22.350758
6767,56.391667,-0.107194,0.033982,-0.736525,-0.666997,70.380150,639.659424,40.943676,43.110760,649.590454,45.505161,75.537720,657.160767,39.327232,68.861961,638.123962,62.987267,63.751534,615.107910,29.994164,100.639023,638.313965,26.904524
6768,56.400000,-0.105514,0.034972,-0.737343,-0.666310,64.535561,641.238708,45.228447,37.230469,651.124329,49.673466,69.668503,658.748108,43.620583,62.931538,639.715759,67.266823,57.994583,616.667908,34.269451,94.852936,639.937378,31.311892
6769,56.408333,-0.104352,0.036210,-0.737271,-0.666507,58.473789,642.760742,49.437347,31.161242,652.665283,53.793716,63.624813,660.266785,47.850845,56.795200,641.233704,71.469879,51.951488,618.197388,38.450657,88.836433,641.440674,35.621613
6770,56.416667,-0.100773,0.038148,-0.736823,-0.667444,52.253460,644.411926,53.662552,24.934547,654.397400,57.787918,57.462952,661.900940,52.079620,50.401268,642.935303,75.684608,45.750813,619.843018,42.676704,82.717957,642.983032,40.083885
6771,56.425000,-0.098962,0.039759,-0.737397,-0.666986,45.967125,645.953613,57.676609,18.618292,655.912354,61.666214,51.167294,663.447754,56.119621,44.006989,644.474976,79.689186,39.543198,621.378357,46.658535,76.500092,644.554626,44.249466
6772,56.433333,-0.096449,0.040780,-0.736213,-0.668599,39.459530,647.494629,61.750824,12.135971,657.580627,65.591011,44.743279,664.962646,60.182285,37.389481,646.070374,83.756927,32.980267,622.924744,50.753304,70.048897,645.934692,48.470581
6773,56.441667,-0.096166,0.043653,-0.736639,-0.667989,32.725517,649.036987,65.742851,5.376298,659.083740,69.502617,38.000378,666.515747,64.266266,30.560175,647.524292,87.733879,26.316696,624.504944,54.620403,63.374275,647.556396,52.591080
6774,56.450000,-0.093096,0.044406,-0.736158,-0.668904,25.951702,650.738342,69.718338,-1.392934,660.862244,73.300133,31.276524,668.199707,68.215508,23.665075,649.299744,91.702057,19.543350,626.186951,58.638313,56.666733,649.143188,56.735668
6775,56.458333,-0.090351,0.045125,-0.735311,-0.670162,18.855820,652.418579,73.645264,-8.471176,662.644165,77.069420,24.246513,669.857666,72.119423,16.460396,651.048706,95.621796,12.417234,627.858093,62.602901,49.626366,650.684204,60.812775
6776,56.466667,-0.085803,0.046266,-0.734828,-0.671211,11.586241,654.177429,77.577469,-15.738368,664.494690,80.735176,17.038254,671.594299,76.015648,9.010593,652.914856,99.540031,5.167163,629.584717,66.595612,42.453796,652.298584,65.000862
6777,56.475000,-0.082829,0.047196,-0.735873,-0.670375,4.119050,656.266296,81.410484,-23.246178,666.531372,84.380936,9.542008,673.691040,79.835686,1.417076,655.054565,103.360725,-2.181487,631.631287,70.454735,35.064064,654.423096,69.020325
6778,56.483333,-0.080130,0.048356,-0.736154,-0.670312,-3.686706,658.406067,85.307373,-31.068256,668.676147,88.105309,1.744656,675.827942,83.729263,-6.511080,657.236572,107.244499,-9.925601,633.749878,74.364166,27.326986,656.539856,73.093628
6779,56.491667,-0.078087,0.051498,-0.736295,-0.670165,-11.676131,660.664429,89.025040,-39.074303,670.937500,91.643715,-6.228435,678.087585,87.519485,-14.659964,659.454163,110.938835,-17.842560,636.030884,77.990028,19.424841,658.812073,77.033142
6780,56.500000,-0.072484,0.050769,-0.736072,-0.671094,-19.750261,663.007751,92.772781,-47.144146,673.360718,95.105927,-14.254302,680.405701,91.154732,-22.892992,661.994751,114.674370,-25.891039,638.291992,81.908630,11.431405,660.985596,81.020241
6781,56.508333,-0.069563,0.052994,-0.736190,-0.671102,-28.030010,665.543884,96.453636,-55.435276,675.911255,98.579895,-22.514124,682.938171,94.864365,-31.333055,664.546875,118.332352,-34.103027,640.823914,85.561142,3.235673,663.499390,84.930435
6782,56.516667,-0.066203,0.055749,-0.736660,-0.670702,-36.308289,668.094727,99.987030,-63.736065,678.449890,101.868698,-30.787016,685.490967,98.438248,-39.802204,667.105835,121.836449,-42.273933,643.367004,89.052948,-4.941978,666.060120,88.738815
6783,56.525000,-0.063291,0.056236,-0.737263,-0.670280,-44.648998,670.817505,103.471855,-72.096657,681.149780,105.181252,-39.137917,688.214417,101.895378,-48.252705,669.894836,125.306320,-50.533543,646.048645,92.586914,-13.223939,668.779846,92.389389
6784,56.533333,-0.056506,0.056732,-0.738325,-0.669676,-52.977707,673.472046,106.803734,-80.457214,683.776184,108.127792,-47.474926,690.863525,105.140862,-56.817371,672.727234,128.604752,-58.707737,648.603638,96.064339,-21.431047,671.389648,96.080902
6785,56.541667,-0.053640,0.057929,-0.738723,-0.669370,-61.199425,676.094910,110.050301,-88.691620,686.387207,111.190361,-55.695919,693.485840,108.383797,-65.167587,675.393433,131.829742,-66.852928,651.201172,99.329025,-29.588816,674.006958,99.518585
6786,56.550000,-0.050860,0.059300,-0.738523,-0.669687,-69.513306,678.680847,113.162140,-96.999260,689.008057,114.122864,-63.979046,696.062256,111.498436,-73.610374,678.021362,134.919006,-75.133789,653.775635,102.450180,-37.843838,676.536926,102.820198
6787,56.558333,-0.047814,0.060242,-0.739045,-0.669252,-77.915222,681.156677,116.038605,-105.415382,691.461914,116.810143,-72.386528,698.538513,114.360321,-82.139290,680.552368,137.772781,-83.450912,656.217590,105.361366,-46.183750,679.013062,105.888428
6788,56.566667,-0.043997,0.061324,-0.739052,-0.669407,-86.217606,683.489807,118.803955,-113.714340,693.818848,119.344643,-80.663368,700.861328,117.103592,-90.595718,682.965393,140.509689,-91.697495,658.517456,108.175751,-54.416874,681.285950,108.886093
6789,56.575000,-0.041295,0.063189,-0.739359,-0.669067,-94.547379,685.749817,121.423347,-122.051353,696.067749,121.774658,-88.989326,703.122192,119.744331,-99.067574,685.242493,143.100357,-99.947044,660.765930,110.781181,-62.681355,683.550781,111.716225
6790,56.583333,-0.036614,0.064163,-0.739206,-0.669416,-102.997955,687.868469,123.893600,-130.489273,698.225769,123.970329,-97.401833,705.224854,122.176239,-107.695724,687.472168,145.535141,-108.345848,662.840820,113.328362,-71.056877,685.578674,114.457947
6791,56.591667,-0.034273,0.066221,-0.739469,-0.669049,-111.248535,689.774719,126.144897,-138.744370,700.119812,126.047913,-105.649429,707.133423,124.460976,-116.081970,689.378418,147.756546,-116.518867,664.743652,115.548798,-79.247803,687.498169,116.910294
6792,56.600000,-0.030821,0.066932,-0.738252,-0.670488,-119.706581,691.653931,128.357437,-147.156952,702.115417,128.065125,-114.023743,708.982666,126.645355,-124.666382,691.354187,149.941986,-125.022499,666.608398,117.818474,-87.663071,689.208923,119.316277
6793,56.608333,-0.028353,0.069553,-0.738986,-0.669521,-128.086823,693.364319,130.375000,-155.554352,703.773315,129.886749,-122.424873,710.704834,128.713547,-133.204193,693.043701,151.922440,-133.277222,668.314270,119.784439,-95.973236,690.985474,121.567833
6794,56.616667,-0.024569,0.070910,-0.738566,-0.669991,-136.406631,694.907776,132.257339,-163.850342,705.366028,131.536453,-130.700241,712.232666,130.585007,-141.682159,694.662048,153.767578,-141.566238,669.835327,121.704819,-104.233948,692.442871,123.692863
6795,56.625000,-0.021800,0.073042,-0.737269,-0.671286,-144.747299,696.274475,133.940353,-172.141937,706.846130,133.031174,-138.957993,713.574768,132.298889,-150.167755,696.060364,155.414886,-149.940109,671.218811,123.364212,-112.528488,693.672302,125.592651
6796,56.633333,-0.020710,0.075062,-0.736663,-0.671762,-153.236053,697.497864,135.547928,-180.607956,708.119263,134.539856,-147.409439,714.790466,133.958374,-158.747543,697.259399,156.999008,-158.428192,672.468140,124.910194,-120.986877,694.851990,127.332199
6797,56.641667,-0.016291,0.075522,-0.736386,-0.672136,-161.636490,698.574158,136.903564,-188.983322,709.233582,135.646622,-155.770737,715.848999,135.264832,-167.299591,698.456909,158.316132,-166.794067,673.497375,126.360428,-129.334473,695.834106,128.929840
6798,56.650000,-0.014800,0.076854,-0.735182,-0.673337,-170.163589,699.570313,138.140869,-197.466324,710.329773,136.782059,-164.228577,716.823669,136.526108,-175.907715,699.471741,159.531937,-175.373077,674.513489,127.575668,-137.842010,696.712830,130.288605
6799,56.658333,-0.012293,0.079606,-0.733998,-0.674358,-178.721741,700.437317,139.227631,-205.975525,711.295105,137.681320,-172.713898,717.670715,137.670044,-184.620087,700.341858,160.576706,-183.944138,675.407776,128.604294,-146.354828,697.471069,131.605835
6800,56.666667,-0.008507,0.081042,-0.734241,-0.673980,-187.436951,701.218933,140.136795,-214.680786,712.065125,138.351639,-181.421509,718.449097,138.572464,-193.496490,701.186646,161.440857,-192.573074,676.156067,129.550125,-155.012665,698.237915,132.768906
6801,56.675000,-0.005353,0.081776,-0.733020,-0.675253,-196.022766,701.824951,140.865829,-223.212479,712.775391,138.901184,-189.929291,719.025940,139.282578,-202.197098,701.881165,162.136871,-201.203140,676.751282,130.326447,-163.571564,698.691101,133.682083
6802,56.683333,-0.002919,0.086289,-0.732809,-0.674935,-204.718124,702.382874,141.525528,-231.884750,713.347473,139.333801,-198.605301,719.587402,140.059479,-211.098740,702.369202,162.735657,-209.802139,677.346252,130.851959,-172.199478,699.264038,134.646759
6803,56.691667,0.000143,0.087771,-0.732314,-0.675288,-213.253860,702.896545,141.986053,-240.386841,713.903687,139.599274,-207.101990,720.087708,140.527100,-219.770599,702.933777,163.154739,-218.312485,677.848572,131.326950,-180.697128,699.708923,135.322250
6804,56.700000,0.002206,0.090139,-0.730874,-0.676531,-221.645157,703.352844,142.276947,-248.717697,714.474121,139.737793,-215.413803,720.519836,140.871216,-228.288696,703.397522,163.406143,-226.742935,678.335876,131.563934,-189.062439,700.036987,135.805634
6805,56.708333,0.005208,0.092115,-0.729940,-0.677256,-229.970688,703.684814,142.459579,-256.993042,714.880676,139.721695,-223.680679,720.832520,141.080063,-236.760406,703.769775,163.542145,-235.065613,678.671570,131.736328,-197.353500,700.269470,136.217712
6806,56.716667,0.007039,0.094397,-0.729194,-0.677729,-238.129868,704.062134,142.509354,-265.113647,715.315186,139.629135,-231.797623,721.198425,141.182785,-245.039154,704.139893,163.553070,-243.214035,679.069885,131.732269,-205.484650,700.587158,136.449539
6807,56.725000,0.010257,0.096086,-0.728838,-0.677833,-246.046921,704.442627,142.417603,-272.996185,715.723083,139.328842,-239.684586,721.568848,141.103912,-253.102539,704.567444,163.412476,-251.086502,679.436890,131.651016,-213.364548,700.916992,136.591843
6808,56.733333,0.012387,0.096775,-0.727578,-0.679052,-253.879547,704.712769,142.192825,-280.772766,716.092590,138.982635,-247.445786,721.811951,140.875961,-261.014954,704.898987,163.160278,-258.974945,679.709229,131.447235,-221.189056,701.051025,136.498032
6809,56.741667,0.013233,0.100902,-0.726424,-0.679670,-261.634796,705.093506,141.837860,-288.477081,716.557922,138.504654,-255.149399,722.182800,140.651672,-268.911102,705.191284,162.757431,-266.720276,680.158020,130.930725,-228.915894,701.377563,136.344879
6810,56.750000,0.015405,0.102781,-0.725586,-0.680239,-269.434021,705.439697,141.389481,-296.230133,716.967102,137.905212,-262.901855,722.513611,140.239182,-276.827423,705.555481,162.267853,-274.516876,680.515747,130.454742,-236.693649,701.646484,136.080429
6811,56.758333,0.017119,0.104234,-0.725647,-0.679911,-277.205627,705.817139,140.789978,-303.988556,717.336975,137.181503,-270.672577,722.892456,139.665085,-284.693573,705.936218,161.634613,-282.232574,680.889221,129.838455,-244.440552,702.030945,135.630249
6812,56.766667,0.020559,0.105958,-0.724179,-0.681113,-284.977722,706.120605,140.063309,-311.683228,717.751282,136.242844,-278.361664,723.164917,138.954147,-292.613556,706.310974,160.853699,-290.036255,681.194885,129.121384,-252.193726,702.180969,135.144547
6813,56.775000,0.021736,0.108060,-0.723905,-0.681037,-292.823669,706.492126,139.249878,-319.506409,718.139954,135.324112,-286.195374,723.535217,138.196640,-300.554901,706.654724,160.005219,-297.842377,681.584961,128.247513,-260.019073,702.545776,134.475952
6814,56.783333,0.023655,0.110772,-0.722367,-0.682170,-300.658325,706.845947,138.251831,-327.268677,718.607971,134.178192,-293.954956,723.863892,137.269394,-308.519348,707.004822,158.958359,-305.707886,681.977783,127.175613,-267.840454,702.775269,133.677597
6815,56.791667,0.027958,0.111853,-0.722155,-0.682055,-308.512543,707.182739,137.144516,-335.078369,718.954163,132.815186,-301.784027,724.189575,136.141388,-316.533142,707.438049,157.788818,-313.502319,682.272583,126.135750,-275.664581,703.059448,132.841522
6816,56.800000,0.029202,0.114270,-0.721435,-0.682364,-316.398590,707.555359,135.898376,-342.923676,719.377075,131.457870,-309.638458,724.553467,134.962936,-324.523285,707.782654,156.502258,-321.371552,682.674805,124.815277,-283.535706,703.388672,131.753601
6817,56.808333,0.032238,0.115113,-0.721505,-0.682012,-324.279541,707.770508,134.448715,-350.778748,719.579956,129.824554,-317.513458,724.765625,133.500809,-332.519623,708.059143,155.005966,-329.191498,682.857422,123.411697,-291.394165,703.590576,130.500626
6818,56.816667,0.034364,0.118103,-0.720842,-0.682098,-332.122406,708.085388,132.939957,-358.572144,719.937256,128.144577,-325.327271,725.072876,132.067413,-340.509308,708.352661,153.438019,-336.987976,683.196167,121.828674,-299.215149,703.867798,129.221115
6819,56.825000,0.036302,0.120283,-0.720212,-0.682282,-339.914246,708.209961,131.257050,-366.318909,720.102966,126.317116,-333.089874,725.188293,130.434998,-348.418793,708.475952,151.706589,-344.751251,683.335083,120.101402,-306.992126,703.947693,127.725243
6820,56.833333,0.038155,0.123054,-0.719750,-0.682174,-347.640381,708.307617,129.407227,-374.003815,720.227417,124.314140,-340.798706,725.282227,128.656235,-356.277771,708.547791,149.801361,-352.422424,683.453674,118.181320,-314.699036,704.026978,126.083138
6821,56.841667,0.041261,0.125233,-0.718916,-0.682476,-355.269257,708.241150,127.423126,-381.568146,720.213562,122.123871,-348.385315,725.200317,126.708344,-364.057434,708.517944,147.752258,-360.021698,683.387817,116.183449,-322.313446,703.886230,124.347740
6822,56.850000,0.043428,0.129153,-0.719414,-0.681085,-362.715118,708.146667,125.313133,-388.996033,720.067627,119.812416,-355.867096,725.124329,124.699982,-371.681854,708.352173,145.564987,-367.307434,683.309387,113.971863,-329.722961,703.880005,122.516472
6823,56.858333,0.045527,0.131444,-0.718928,-0.681023,-369.954193,707.887390,123.080902,-396.189575,719.835510,117.424049,-363.086975,724.859070,122.519714,-379.046143,708.089905,143.276901,-374.498810,683.060608,111.697479,-336.949249,703.591980,120.486420
6824,56.866667,0.049069,0.132827,-0.718785,-0.680660,-376.981171,707.498230,120.686813,-403.169983,719.442505,114.810387,-370.101868,724.465088,120.126274,-386.215851,707.762207,140.817215,-381.457123,682.641418,109.341782,-343.960754,703.180115,118.338463
6825,56.875000,0.049771,0.134424,-0.718347,-0.680758,-383.734863,707.050659,118.304489,-409.895599,719.023682,112.361870,-376.840820,724.013000,117.790886,-393.033722,707.292175,138.405609,-388.193481,682.213989,106.908699,-350.710419,702.710571,116.055443
6826,56.883333,0.052240,0.137230,-0.718387,-0.679970,-390.091827,706.577454,115.773041,-416.216400,718.533020,109.639328,-383.207733,723.545532,115.321457,-399.542877,706.799866,135.803284,-394.444092,681.743835,104.329491,-357.047852,702.265076,113.771721
6827,56.891667,0.054389,0.140646,-0.718231,-0.679267,-396.248749,705.909851,113.149345,-422.330658,717.862793,106.831635,-389.371033,722.882629,112.785576,-405.858734,706.087769,133.104263,-400.495697,681.096252,101.623131,-363.187439,701.619812,111.402184
6828,56.900000,0.055854,0.141403,-0.718210,-0.679014,-402.004150,705.259827,110.451111,-428.065674,717.206787,104.038773,-395.125366,722.232300,110.093719,-411.678040,705.456055,130.374954,-406.214020,680.435547,98.934265,-368.937408,700.968384,108.813911
6829,56.908333,0.058063,0.144048,-0.717461,-0.679065,-407.381348,704.498962,107.665192,-433.381531,716.489502,101.087135,-400.476227,721.461975,107.372162,-417.190918,704.688843,127.522644,-411.547607,679.692383,96.094460,-374.310272,700.162109,106.249596
6830,56.916667,0.058590,0.144688,-0.717926,-0.678391,-412.319153,703.668701,104.875832,-438.325867,715.619629,98.251755,-405.439362,720.642212,104.594803,-422.164032,703.843811,124.715942,-416.427185,678.855713,93.298058,-379.239075,699.382202,103.518669
6831,56.925000,0.059753,0.147136,-0.716950,-0.678796,-416.906372,702.839294,101.996048,-442.856354,714.856140,95.269516,-409.992126,719.799866,101.787880,-426.849792,702.988892,121.787163,-421.004944,678.060669,90.341614,-383.828339,698.490967,100.794144
6832,56.933333,0.061051,0.147889,-0.716304,-0.679198,-421.162415,701.815002,99.091652,-447.072174,713.874084,92.286095,-414.218079,718.763428,98.895668,-431.161774,701.990723,118.854355,-425.271118,677.038391,87.436516,-388.088776,697.408508,97.985687
6833,56.941667,0.062450,0.148095,-0.714973,-0.680428,-425.017242,700.725037,96.133141,-450.864807,712.879272,89.260803,-418.005402,717.645569,95.933723,-435.056915,700.961426,115.874748,-429.199768,675.952454,84.495689,-391.959076,696.186401,95.100838
6834,56.950000,0.061763,0.149622,-0.714078,-0.681096,-428.513885,699.597229,93.155724,-454.332825,711.821228,86.299583,-421.471771,716.505859,93.022034,-438.573120,699.783081,112.887917,-432.728638,674.872620,81.428230,-395.462799,695.003418,92.140930
6835,56.958333,0.062451,0.150850,-0.713672,-0.681187,-431.737335,698.446167,90.151787,-457.528839,710.695740,83.238174,-424.682465,715.349731,90.053009,-441.849243,698.620667,109.857155,-435.938873,673.735779,78.389572,-398.687042,693.828857,89.221100
6836,56.966667,0.062775,0.151662,-0.712696,-0.681999,-434.570282,697.232849,87.109505,-460.321259,709.554199,80.172310,-427.473328,714.118896,87.039780,-444.710236,697.410583,106.800423,-438.816162,672.546082,75.313675,-401.530273,692.534424,86.221420
6837,56.975000,0.062289,0.154288,-0.711511,-0.682691,-437.079498,696.028076,84.139297,-462.784515,708.437805,77.189323,-429.946594,712.899109,84.171562,-447.274780,696.132019,103.802147,-441.344238,671.407898,72.211823,-404.047089,691.263550,83.321686
6838,56.983333,0.062634,0.153955,-0.710745,-0.683533,-439.332642,694.746155,81.047653,-465.008789,707.213074,74.093468,-432.159393,711.600037,81.068832,-449.525116,694.886353,100.711731,-443.657776,670.129089,69.135590,-406.311829,689.902161,80.228706
6839,56.991667,0.062157,0.155106,-0.709920,-0.684172,-441.334473,693.370483,77.954338,-466.983276,705.900452,71.012344,-434.131897,710.211731,78.025467,-451.542542,693.476868,97.610565,-445.692993,668.792236,65.974281,-408.321564,688.471008,77.149101
6840,57.000000,0.062166,0.156950,-0.709096,-0.684606,-443.142303,692.066650,74.828064,-468.754578,704.655823,67.858498,-435.914429,708.896667,74.966354,-453.399384,692.131348,94.458908,-447.507935,667.530090,62.765488,-410.134888,687.119385,74.091156
6841,57.008333,0.060904,0.156894,-0.708123,-0.685738,-444.667084,690.647766,71.696815,-470.261749,703.316711,64.807518,-437.395996,707.459045,71.855087,-454.882751,690.697449,91.349304,-449.120636,666.147827,59.592163,-411.674011,685.617981,70.880089
6842,57.016667,0.062087,0.157602,-0.707290,-0.686330,-446.015106,689.283997,68.536911,-471.563324,702.008850,61.578468,-438.706421,706.078735,68.709053,-456.280945,689.362427,88.163139,-450.493134,664.790649,56.427807,-413.031555,684.179260,67.806137
6843,57.025000,0.061166,0.157909,-0.706540,-0.687113,-447.203979,687.789063,65.300507,-472.736267,700.574219,58.394413,-439.864716,704.570251,65.499176,-457.449371,687.846191,84.937492,-451.738831,663.328552,53.146351,-414.230499,682.626221,64.525177
6844,57.033333,0.061344,0.158434,-0.705873,-0.687662,-448.163635,686.186890,62.059017,-473.668213,699.020447,55.140335,-440.796295,702.955505,62.277195,-458.426239,686.246094,81.686989,-452.728943,661.743469,49.881874,-415.198212,680.969055,61.308765
6845,57.041667,0.061255,0.160718,-0.705467,-0.687556,-448.961304,684.535156,58.747883,-474.443146,697.395203,51.794712,-441.593079,701.302124,59.046967,-459.284698,684.527405,78.344055,-453.491180,660.134583,46.472065,-415.994232,679.316467,58.081699
6846,57.050000,0.060494,0.159727,-0.704923,-0.688412,-449.594849,682.835876,55.441910,-475.071381,695.742126,48.555202,-442.195160,699.589294,55.720249,-459.866364,682.848389,75.065315,-454.201874,658.442749,43.179935,-416.639282,677.556763,54.688911
6847,57.058333,0.060482,0.160083,-0.704549,-0.688714,-450.003754,681.017517,52.100723,-475.465790,693.951172,45.211971,-442.589203,697.764160,52.393471,-460.283508,681.026062,71.719803,-454.627380,656.636780,39.820374,-417.052582,675.709412,51.358067
6848,57.066667,0.059118,0.162897,-0.703306,-0.689442,-450.133392,679.176636,48.762062,-475.557159,692.203674,41.907883,-442.686646,695.906433,49.174664,-460.449921,679.081177,68.361603,-454.781647,654.883179,36.318981,-417.191315,673.808594,48.047245
6849,57.075000,0.058732,0.162203,-0.703176,-0.689771,-450.046997,677.216797,45.395676,-475.473816,690.256592,38.577236,-442.589600,693.942322,45.790340,-460.332367,677.134644,65.011642,-454.729584,652.921692,32.968849,-417.109314,671.828674,44.630383
6850,57.083333,0.058406,0.163225,-0.702585,-0.690160,-449.729187,675.213562,42.008820,-475.135071,688.296753,35.195354,-442.253174,691.929688,42.445713,-460.032257,675.101440,61.615356,-454.428192,650.950256,29.526194,-416.796997,669.789673,41.261562
6851,57.091667,0.057195,0.162486,-0.702519,-0.690503,-449.184326,673.076233,38.596813,-474.605927,686.170776,31.864271,-441.702728,689.790100,39.024170,-459.431976,672.953186,58.232311,-453.925018,648.822754,26.110680,-416.255798,667.644287,37.752701
6852,57.100000,0.055167,0.163604,-0.701765,-0.691170,-448.420258,670.824585,35.127586,-473.835785,683.980835,28.493147,-440.918060,687.527344,35.622585,-458.639893,670.621582,54.777020,-453.207855,646.635681,22.534647,-415.499481,665.357483,34.210606
6853,57.108333,0.053825,0.163398,-0.701667,-0.691424,-447.463409,668.536804,31.771194,-472.892761,681.705627,25.215120,-439.958832,685.238159,32.276550,-457.639008,668.302612,51.443123,-452.281067,644.368774,19.149675,-414.545197,663.068787,30.771570
6854,57.116667,0.052063,0.163828,-0.699713,-0.693434,-446.259003,666.173584,28.312437,-471.638519,679.492310,21.867018,-438.671417,682.835938,28.865242,-456.390045,665.912476,48.007004,-451.224365,642.078857,15.608279,-413.370392,660.548401,27.214714
6855,57.125000,0.051597,0.164544,-0.699295,-0.693722,-444.904388,663.695435,24.857294,-470.271973,677.044983,18.428673,-437.304413,680.351013,25.442533,-455.041382,663.406250,44.548409,-449.884216,639.627563,12.107999,-412.019714,658.047424,23.758924
6856,57.133333,0.049515,0.164487,-0.698776,-0.694409,-443.399902,661.159241,21.361025,-468.774261,674.553589,15.053510,-435.781372,677.805359,21.972996,-453.474854,660.820007,41.083164,-448.444244,637.135315,8.554215,-410.524597,655.481812,20.141310
6857,57.141667,0.048235,0.164497,-0.698924,-0.694348,-441.628601,658.625916,17.921892,-467.023590,672.013123,11.682511,-434.020813,675.276428,18.549284,-451.668396,658.245239,37.661194,-446.678528,634.620667,5.082341,-408.751495,652.974060,16.634199
6858,57.150000,0.047452,0.164963,-0.698375,-0.694844,-439.665863,655.859192,14.403697,-465.048859,669.287842,8.204885,-432.038513,672.499573,15.059608,-449.695068,655.451233,34.147820,-444.750610,631.885132,1.519743,-406.795990,650.171997,13.086493
6859,57.158333,0.044933,0.165300,-0.698065,-0.695243,-437.593689,652.944946,10.850742,-462.994324,666.402039,4.787223,-429.962128,669.581665,11.550993,-447.560699,652.457031,30.624548,-442.722229,629.024597,-2.115547,-404.728882,647.259277,9.406561
6860,57.166667,0.042289,0.165062,-0.697330,-0.696202,-435.375610,649.947998,7.296412,-460.781464,663.465393,1.390987,-427.715912,666.570557,8.025073,-445.258789,649.402405,27.110727,-440.595703,626.083252,-5.735524,-402.525940,644.218384,5.690860
6861,57.175000,0.041304,0.164997,-0.696951,-0.696656,-433.006439,646.793945,3.647306,-458.410248,660.341187,-2.198394,-425.331635,663.408997,4.387866,-442.858765,646.227966,23.476421,-438.267212,622.952515,-9.410821,-400.164154,641.039124,1.981524
6862,57.183333,0.038933,0.165707,-0.696465,-0.697110,-430.551666,643.607239,0.007908,-455.963135,657.192322,-5.715201,-422.867218,660.215271,0.804436,-440.356140,642.956787,19.858143,-435.855408,619.827148,-13.144340,-397.716278,637.844727,-1.763435
6863,57.191667,0.037010,0.166667,-0.696696,-0.696754,-427.930603,640.301392,-3.604474,-453.369843,653.869873,-9.242952,-420.270508,656.917908,-2.752441,-437.709381,639.558228,16.255165,-433.214325,616.564819,-16.843136,-395.088684,634.596191,-5.438939
6864,57.200000,0.034519,0.166606,-0.696908,-0.696685,-425.131805,636.911865,-7.251372,-450.607361,650.467773,-12.754597,-417.488861,653.534851,-6.371491,-434.839081,636.091064,12.640262,-430.433746,613.212769,-20.549749,-392.289703,631.252930,-9.221221
